ID,NOME_OBRA,AUTOR,TIPOLOGIA,MATERIAL,DT_IMPLANT,CONPRESP,CONDEPHAAT,TOMBAMENTO,LOCAL,IPHAN,LINK_RES,problematica
102,Diálogo,"WEISSMAN, Franz",Escultura Abstrata,chapas de aço pintadas,1979,RES. 17/2007,não consta,sim,Praça da Sé,não consta,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,N
103,Diana a Caçadora,desconhecido,Estátua,bronze e argamassa,ca. 1944,não consta,não consta,não,Praça Pedro Lessa,não consta,não consta,N
104,Discóbolo,desconhecido,Chafariz Estátua,argamassa armada concreto e bronze,Entre 1940 - 1945,não consta,não consta,não,Praça General Polidoro,não consta,não consta,N
105,Dom Bernardino Rivadávia,"NAVARRO, Juan Carlos Oliva",Busto,bronze e granito,1945,não consta,não consta,não,Parque Buenos Aires,não consta,não consta,N
106,Dom Duarte Leopoldo e Silva,"CUCÊ, José",Estátua,bronze e granito,1949,não consta,não consta,não,Largo Santa Cecília,não consta,não consta,N
107,Dom Gastăo Liberal Pinto,"CAMAROTTO, Arthur",Estátua,bronze e granito,1963,não consta,não consta,não,Praça Dom Gastăo Liberal Pinto,não consta,não consta,N
108,Dom José de Camargo Barros,"STARACCE, Júlio",Busto,bronze e granito,1915,não consta,não consta,não,Largo Coraçăo de Jesus,não consta,não consta,N
109,Dom Luiz Orione,"MORRONE, Luiz",Herma,bronze e granito,1972,não consta,não consta,não,Praça Dom Orione,não consta,não consta,N
110,Domingo – Dia do Senhor,"GARCIA, Heitor Eiras",Marco,concreto,1981,não consta,não consta,não,Praça Dia do Senhor,não consta,não consta,N
111,Dorival Rodrigues Alves,NANNI,Cabeça estela,bronze mármore e latăo,2000,não consta,não consta,não,Praça Dorival Rodrigues Alves,não consta,não consta,N
112,Doutor Luís Pereira Barreto,"EMENDABILI, Galileo",Grupo escultórico,bronze e granito,1929,não consta,não consta,não,Praça Marechal Deodoro,não consta,não consta,S
113,Doutor Luiz Lázaro Zamenhoff,"SAMPAIO M. E. GOMES, Fernando Martins",Herma,argamassa armada mármore e granito,1969,não consta,não consta,não,Praça da República,não consta,não consta,N
114,Doutora Carlota Pereira Queiroz,"MORRONE, Luiz",Herma,bronze concreto e mármore,1985,não consta,não consta,não,Praça Califórnia,não consta,não consta,N
115,Drusa,"MILAN, Denise",Chafariz Escultura Abstrata,aço pintado,1992,não consta,não consta,não,Parque Anhangabaú,não consta,não consta,N
116,Edgard Hermelino Leite,"MELLO, Rodolfo Veríssimo de",Herma,bronze e granito,1996,não consta,não consta,não,Praça Edgard Hermelino Leite,não consta,não consta,N
